//Version: PianoRoll_v170101
0	2.798958	43.095833	C#3	37	46	0
1	5.602083	31.533333	E3	36	1	0
2	8.413542	39.218750	A3	32	8	0
3	11.228125	14.350000	A1	22	39	0
4	17.479167	20.750000	A2	23	62	0
5	24.222917	27.818750	A2	19	40	0
6	35.356250	47.018750	A2	24	57	0
7	51.209375	73.271875	C#3	2	6	0
8	55.402083	77.933333	A3	33	3	0
9	59.602083	64.105208	A1	1	50	0
10	68.630208	82.639583	A2	1	58	0
11	87.556250	92.580208	A2	21	33	0
12	97.838542	103.158333	A2	1	69	0
13	108.760417	175.777083	B3	42	68	0
14	114.372917	162.812500	D3	35	68	0
15	119.987500	169.290625	A3	37	66	0
16	125.635417	131.572917	A1	22	4	0
17	137.517708	143.623958	A2	26	68	0
18	149.955208	156.357292	A2	22	59	0
19	182.438542	189.188542	A2	28	49	0
20	196.198958	254.779167	C#4	48	63	0
21	203.226042	262.481250	E3	32	57	0
22	210.256250	247.130208	A3	3	39	0
23	217.325000	224.622917	A1	20	3	0
24	231.981250	239.494792	A2	1	4	0
25	270.218750	278.031250	A2	22	52	0
26	286.077083	334.718750	B3	3	62	0
27	294.130208	318.407292	D3	38	5	0
28	302.191667	342.910417	A3	37	61	0
29	310.262500	326.552083	A2	23	58	0
30	351.341667	441.708333	C#3	2	67	0
31	359.786458	451.463542	A3	2	67	0
32	368.255208	376.841667	A2	20	56	0
33	385.647917	394.530208	A2	23	52	0
34	403.671875	412.914583	A2	21	3	0
35	422.400000	431.993750	A2	1	37	0
36	461.328125	481.737500	A1	24	41	0
37	471.517708	492.054167	A2	23	63	0
38	502.622917	588.778125	A3	43	67	0
39	513.196875	544.993750	A2	2	67	0
40	523.776042	599.800000	C#4	46	5	0
41	534.361458	555.886458	E3	37	67	0
42	566.783333	577.765625	A2	2	4	0
43	611.065625	714.896875	D4	47	50	0
44	622.332292	679.677083	F#3	42	6	0
45	633.598958	656.409375	A1	2	24	0
46	644.872917	691.412500	A3	47	4	0
47	667.986458	703.151042	A2	22	5	0
48	726.856250	738.897917	A2	2	40	0
49	751.173958	825.159375	C#4	45	6	0
50	763.453125	837.550000	A2	3	39	0
51	775.735417	812.769792	E3	37	62	0
52	788.020833	800.391667	A3	3	4	0
53	850.208333	926.914583	A3	41	68	0
54	862.868750	913.907292	D3	44	68	0
55	875.533333	900.963542	A2	28	47	0
56	888.202083	952.958333	B3	41	6	0
57	939.928125	966.040625	A2	2	59	0
58	979.417708	1047.093750	A1	38	3	0
59	992.800000	1074.638542	F#3	39	6	0
60	1006.186458	1088.423958	D4	42	5	0
61	1019.598958	1060.861458	A3	41	5	0
62	1033.336458	1102.307292	A2	2	68	0
63	1116.402083	1173.103125	E3	41	64	0
64	1130.496875	1187.540625	C#4	4	69	0
