//Version: ScorePerfmMatch_v170503
// Score: ./D960_hmm.txt
// Perfm: ./performance_spr.txt
// fmt3x: ./D960_fmt3x.txt
0	2.798958	43.095833	C#3	37	46	0	0	98784	*	3	0
1	5.602083	31.533333	E3	36	1	0	0	98784	*	3	-
2	8.413542	39.218750	A3	32	8	0	0	98784	*	3	-
3	11.228125	14.350000	A1	22	39	0	0	98784	*	3	-
4	17.479167	20.750000	A2	23	62	0	0	98796	P1-526-10	0	-
5	24.222917	27.818750	A2	19	40	0	0	98808	P1-526-11	0	-
6	35.356250	47.018750	A2	24	57	0	0	98820	P1-526-12	0	-
7	51.209375	73.271875	C#3	2	6	0	0	98832	P1-526-4	0	-
8	55.402083	77.933333	A3	33	3	0	0	98832	P1-526-5	0	-
9	59.602083	64.105208	A1	1	50	0	0	98832	P1-526-13	0	-
10	68.630208	82.639583	A2	1	58	0	0	98844	P1-526-14	0	-
11	87.556250	92.580208	A2	21	33	0	0	98856	P1-526-15	0	-
12	97.838542	103.158333	A2	1	69	0	0	98868	P1-526-16	0	-
13	108.760417	175.777083	B3	42	68	0	0	98880	P1-526-8	0	-
14	114.372917	162.812500	D3	35	68	0	0	98880	P1-526-6	0	-
15	119.987500	169.290625	A3	37	66	0	0	98880	P1-526-7	0	-
16	125.635417	131.572917	A1	22	4	0	0	98880	P1-526-17	0	-
17	137.517708	143.623958	A2	26	68	0	0	98892	P1-526-18	0	-
18	149.955208	156.357292	A2	22	59	0	0	98904	P1-526-19	0	-
19	182.438542	189.188542	A2	28	49	0	0	98916	P1-526-20	0	-
20	196.198958	254.779167	C#4	48	63	0	0	98928	P1-527-3	0	-
21	203.226042	262.481250	E3	32	57	0	0	98928	P1-527-1	0	-
22	210.256250	247.130208	A3	3	39	0	0	98928	P1-527-2	0	-
23	217.325000	224.622917	A1	20	3	0	0	98928	P1-527-12	0	-
24	231.981250	239.494792	A2	1	4	0	0	98940	P1-527-13	0	-
25	270.218750	278.031250	A2	22	52	0	0	98952	P1-527-14	0	-
26	286.077083	334.718750	B3	3	62	0	0	98964	P1-527-6	0	-
27	294.130208	318.407292	D3	38	5	0	0	98964	P1-527-4	0	-
28	302.191667	342.910417	A3	37	61	0	0	98976	P1-527-8	0	-
29	310.262500	326.552083	A2	23	58	0	0	98988	*	3	-
30	351.341667	441.708333	C#3	2	67	0	0	98976	*	3	-
31	359.786458	451.463542	A3	2	67	0	0	98964	*	3	-
32	368.255208	376.841667	A2	20	56	0	0	98976	*	3	-
33	385.647917	394.530208	A2	23	52	0	0	98988	P1-527-17	0	-
34	403.671875	412.914583	A2	21	3	0	0	99000	P1-527-18	0	-
35	422.400000	431.993750	A2	1	37	0	0	99012	P1-527-19	0	-
36	461.328125	481.737500	A1	24	41	0	0	99024	P1-527-20	0	-
37	471.517708	492.054167	A2	23	63	0	0	99036	P1-527-21	0	-
38	502.622917	588.778125	A3	43	67	0	0	99048	P1-527-10	0	-
39	513.196875	544.993750	A2	2	67	0	0	99036	*	3	-
40	523.776042	599.800000	C#4	46	5	0	0	99048	*	3	-
41	534.361458	555.886458	E3	37	67	0	0	99048	*	3	-
42	566.783333	577.765625	A2	2	4	0	0	99060	P1-527-23	0	-
43	611.065625	714.896875	D4	47	50	0	0	99072	P1-528-3	0	-
44	622.332292	679.677083	F#3	42	6	0	0	99072	P1-528-1	0	-
45	633.598958	656.409375	A1	2	24	0	0	99072	P1-528-19	0	-
46	644.872917	691.412500	A3	47	4	0	0	99072	P1-528-2	0	-
47	667.986458	703.151042	A2	22	5	0	0	99084	P1-528-20	0	-
48	726.856250	738.897917	A2	2	40	0	0	99096	P1-528-21	0	-
49	751.173958	825.159375	C#4	45	6	0	0	99108	P1-528-6	0	-
50	763.453125	837.550000	A2	3	39	0	0	99096	*	3	-
51	775.735417	812.769792	E3	37	62	0	0	99108	*	3	-
52	788.020833	800.391667	A3	3	4	0	0	99120	P1-528-8	0	-
53	850.208333	926.914583	A3	41	68	0	0	99108	*	3	-
54	862.868750	913.907292	D3	44	68	0	0	99120	*	3	-
55	875.533333	900.963542	A2	28	47	0	0	99132	P1-528-24	0	-
56	888.202083	952.958333	B3	41	6	0	0	99120	*	3	-
57	939.928125	966.040625	A2	2	59	0	0	99132	*	3	-
58	979.417708	1047.093750	A1	38	3	0	0	99144	P1-528-25	0	-
59	992.800000	1074.638542	F#3	39	6	0	0	99144	P1-528-10	0	-
60	1006.186458	1088.423958	D4	42	5	0	0	99144	P1-528-12	0	-
61	1019.598958	1060.861458	A3	41	5	0	0	99144	P1-528-11	0	-
62	1033.336458	1102.307292	A2	2	68	0	0	99156	P1-528-26	0	-
63	1116.402083	1173.103125	E3	41	64	0	0	99168	P1-528-13	0	-
64	1130.496875	1187.540625	C#4	4	69	0	0	99168	P1-528-15	0	-
65	1144.594792	1201.996875	A3	49	68	0	0	99168	P1-528-14	0	-
66	1158.695833	1230.972917	A1	2	4	0	0	99168	P1-528-27	0	-
67	1216.481250	1245.575000	A2	31	66	0	0	99180	P1-528-28	0	-
68	1260.478125	1350.639583	E3	43	44	0	0	99192	P1-528-17	0	-
69	1275.381250	1428.886458	A3	43	57	0	0	99192	P1-528-18	0	-
70	1290.285417	1335.386458	C#3	49	6	0	0	99204	P1-528-30	0	-
71	1305.222917	1320.290625	Bb1	10	41	0	0	99192	*	3	-
72	1365.968750	1413.001042	C#3	49	4	0	0	99204	*	3	-
73	1381.402083	1397.163542	E3	49	4	0	0	99216	P1-529-2	0	-
74	1446.059375	1755.892708	G#3	32	5	0	0	99216	P1-529-3	0	-
75	1463.247917	1679.338542	B2	26	32	0	0	99204	*	3	-
76	1480.436458	1717.537500	E3	2	5	0	0	99216	*	3	-
77	1497.653125	1514.933333	E2	2	60	0	0	99228	*	3	-
78	1532.508333	1550.153125	E2	1	5	0	0	99228	P1-529-14	0	-
79	1568.086458	1586.089583	E2	1	62	0	0	99240	P1-529-15	0	-
80	1604.412500	1622.805208	E2	1	5	0	0	99252	P1-529-16	0	-
81	1641.503125	1660.262500	E2	24	65	0	0	99264	P1-529-17	0	-
82	1698.416667	1736.695833	E2	26	4	0	0	99276	P1-529-18	0	-
83	1775.645833	1935.694792	G#3	2	52	0	0	99288	P1-529-6	0	-
84	1795.406250	1955.946875	F#3	2	60	0	0	99288	P1-529-5	0	-
85	1815.189583	1915.450000	C3	2	68	0	0	99276	*	3	-
86	1834.995833	1854.875000	D2	18	5	0	0	99288	*	3	-
87	1875.023958	1895.235417	D2	2	60	0	0	99300	P1-529-20	0	-
88	1976.472917	2163.701042	G#3	41	5	0	0	99312	P1-529-9	0	-
89	1997.031250	2121.641667	E3	28	43	0	0	99312	P1-529-8	0	-
90	2017.592708	2142.670833	C#3	26	5	0	0	99312	P1-529-7	0	-
